Date,Stock,Headline,Sentiment,Confidence,Entities,Matched Stocks,Link
2025-11-14,Reliance Industries,RIL shares fall over 2% post Q1 results; analysts say it missed estimates despite impressive numbers - Upstox,NEGATIVE,1.0,"RIL, Upstox",,https://news.google.com/rss/articles/CBMi7AFBVV95cUxQWm4tbUticVZsclpKR0w5NXVtbzl3NG5KeG5YbEU3VzJzYmxoQzlFR1F1bS1MX3ZmenZyeHNtNzFITW12SkdaR19aa1JjTEd5eTJKVjI4TkZ1ZnhwN3VxZFJzdXN6c2RHMVB0RHk3WnhaajhLT0dlejM3d2tzcHN3ZmpINXVIVWxPcjV0Wm1Vd3ExSW5QSDJkMWxYSU05Z1k0RzVWc1FGRTN3UGpnQ1p4VlhDQk54OTVUQnR3YWxXNTFhTEtBWmliM1pfVnU3cGpHQ3MtLUpJbjhZTkFuZE8zQlR1RExWNnZCRzdCVQ?oc=5
2025-11-14,Reliance Industries,"RIL stock jumps 10% in 1 month, nears record high. Should you buy or hold? - Business Standard",NEGATIVE,0.993,"RIL, Standard",,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNTWVxZ3AweGpvZUhneDNkSW90dTE4a2t6YWNCck9nSUZIaGR0SDBROTljb0w3Y25Ob21ERGNtaDE5MEg1cDNvT3dvakw0ajFmOXlhUUMySXg4MUNmamVEQUFTYWVmYWd3ZWpyVTUwUE5PdjEtR3FVZXRqLW5pbVU0cWlZNWkybjh3MjJPYXVYRnhVd1RtY182U1dpbElhbnlFUXRZU2NINE1NS2NlRC1QX1F1TkJRUnVSN293M1RYLTZtWXRvbUJ4SXE0d2xPR01Rc3RN0gHYAUFVX3lxTE5seENfbkdjck0tU2dTcVZIb3FOa2x3Mmo2RlhZbEN2VzQwTmFRU2piSXdxbGJ3V1poYzhMYXF1RFJaUW1YWXV2MHlSSFk1NHRjdEVSdUdGcVRvQUhuMS00ZjBEQ2ktcHRfYlRfRmo5RWl4RzNHM01PTnhBSldIQ3JodnhPVUVpQm5YRTd2bzdvZVJKeVFYQVVtUkFfVUUwQ3YwUkFVMjNXbmIyX21YTFpZWFVmcUc5cnBJeGUwUTVwODE0aExpMDB4MWhkYXVqaUFQYmpmeU9teA?oc=5
2025-11-14,Reliance Industries,"Goldman Sachs says Reliance Industries, Titan Company and 12 other stocks to lead next market rally. Check - The Economic Times",NEGATIVE,0.564,"Goldman Sachs, Reliance Industries, Titan Company, The Economic Times",reliance industries,https://news.google.com/rss/articles/CBMilwJBVV95cUxOc3phS25Gcnk5NWZScmVZcmRHV3o1UE5Oc0JfRTlfRmhyTUNmbFZ1N0RSUHBLV2dheUhpaEg4VGVSckc1SFMzWUpveWpJaFliTjc4YUNaWnc2RGYxakIyRnpZVENGLUZXQXVXS1NRcUZXYUxZSFIzRHI0VV9XMk5mb3N4ZlkzQlZMMTV4SDJZUDFPZVBhU25GdFdhWUpZVmN4bnRBLVBsUXZHMW1iaWF0eUZXMnoxWTYwR1hXVDZhSDNZeXB5NHdIR2hFMU4td2M3R3dueU5ibnNJNEsxQ0V5QWpKVFA5dmZoQThJalNEcmhzMmh1MjFraFd2cWJ3bFp6OHd2RjBxSXhFN3BfbjF3TjJZTFZnRVHSAZwCQVVfeXFMTzlLWWlQODloSjZleXI1OVVjQ3c2ZkRnLUtnNThTSm0ta3o5MUd0MHVDSHlhOUVaWUZDbGNMRkxMRzNPZUtiZHVVbkZoRVNSVk9nRVRsY0FRQjRXbWlIMGp3WXFfZWNQOFpPeWVVN1JWLU9rRG9ZYXRMTUR4SGRLSmlkUnBET3RUWlE3Ni01LXV2aXFvY1NlMkJMd2JfUXU5andxWnM4d01JOWtveUdidzBWeEpQMTliTWZZQUpocTBleG9PY3lUN1l0Sk55bW9HR2tfZFhsRkp3bjBaRV9tOFhVbmRSMzJDV2ZTdmJBUnJoNldET0lIUFlvU3dIWHZZX0dHNWN3ZTlGc2F0V0FaRFNFYXlEbmRydEZ4Uzg?oc=5
2025-11-14,Reliance Industries,Reliance Industries shares may see further upside in the near term - HDFC Sky,NEGATIVE,0.982,"Reliance Industries, HDFC Sky",reliance industries,https://news.google.com/rss/articles/CBMilgFBVV95cUxPN2I3b1pvbHhUNTYydzBNMlh0LUhiNUNudlUwX1liRUZ1d3JMUF9VcGV1eEVJc1V2ekhWdHVMZGdoS3ZIMTIzOE5VaE5JRHVvdWV3MjhJbkptQlktbjNmcDVvcGlxMU8wUkZDWE1GZDVTdWtFcVBNQTE0Z1FlOGVJWkZPS24zN0VhSTFVa2dCVGtRZ1ZlVUE?oc=5
2025-11-14,Reliance Industries,Reliance Industries Unveils Plans for 1 GW Data Center in Andhra Pradesh - scanx.trade,NEGATIVE,0.949,"Reliance Industries, ##W Data Center",reliance industries,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPaHZMSktuSWZRX2Z0cWstcUdjSGkzQ05TUkdwMnpyenZad0FnMF9YN29UcnMyQUpjZmhkdnNOUTZnZzJ1Z1ZTZ2NhMi1LMEhwaVBlSy12TWNjTERiNGNQazJ6VVlwa1dGX2xuaWExN2dmYzRUdkZPRTNHWkI4UHlNNk1wc2p6ZzlGYnhkZ3lzU1Npa25DeWdTTTM2bnhPTnd4bzVlcXlNekh3SkhBaE8xSG8tNXFSR3hleFlJaG9xbGRGUl9oUGZKSUtBN3JhdHpOY044?oc=5
2025-11-14,Adani Power,What Makes Adani Power Limited Resilient During Market Downturns - Real-Time Stock Alerts & Reinvest for Maximum Compounding Returns - earlytimes.in,NEGATIVE,0.979,Adani Power Limited,adani power,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPaUpaLW42SU9aVEY0V0R3Um1XRWYxSGNRWkRTdnBtTHlvRWhzUDM3c0tLQ1ZoLV9vODFBQ05QNHpSNFN2OC1YQS1MdGx6YnBtZXR1c2VJMVFjUzVZM1Q3VEZqTmtwVXpTUmF1NTk0RjZ5V2JWMWRENXdWeGViWVFXSjdpb0loWmxRaDh0OE9jSnFubmZSc1lTLXZKeDZGMml3aVdXOTdYZGQ?oc=5
2025-11-14,Adani Power,Adani Power shares in focus on LoA from Assam Power Distribution for long-term supply - The Economic Times,POSITIVE,0.963,"Adani Power, Assam Power Distribution, The Economic Times",adani power,https://news.google.com/rss/articles/CBMi8AFBVV95cUxQNGlRbUJWeGVWeFlybzJ5X05VUjdPN2tZU1NuN1BvZmtVUTBMSmYta1FuLTBfX0xTX1pCZ2hjcDFZamc2TjljaXg5Qk5VV0JvWVRGWllhUW9aNzFfZzhwR2JZbDU0eHBrNDRhaFpvWFViSTVTZFpXekVLTjY0aC1UOWVMMUVWRW9HYWZCczFfNXZ2ODBfZTJsMmNJaDB1ZHJPeXF0SEM5ZUdJTktoNTczT2s5RU4xYTh0RDQ1Rmt1QzFDOXZvRF9RVUl3XzQyYU1pdWhNdEZzMWU5TGkyX1BCWHg1RFlKczEtNXpUTUVXOWnSAfYBQVVfeXFMUFM3anVWLUItTjgyM3RfazExQVlIczUyVHBvWjlZVXp4ZXVVa3gtTlh2WGE4RWl2Yld3SnV2Zk1zQXpBczM4X1JEWFlZa3lJVDBLdnE2c2hDVmt0SXlxaEN5Z1JrNGI4N29EblBzT3dKNHJvRFBsR3JxM3ltRlFoN3haTjM5QzhRdWtMamVodWZwZWxyNnZOQ19aaUhyM0Z6RFJYYTUzV3I4U2htLWJWeENNbi1WMXFJOEhiYjFCaHE0bHh6YVBCTlFQdUUzdFVTazBSVDU2R2tGSDkwd0lONWJKMTAwOEFzZ3IwbG9CcU93R215VjBB?oc=5
2025-11-14,Adani Power,Adani Power Ltd Surges with 6.5 Million Shares Traded Today - Markets Mojo,POSITIVE,0.998,"Adani Power Ltd, Mo",adani power,https://news.google.com/rss/articles/CBMitwFBVV95cUxNc0Njbkg2dUptd1dWWEdRbEFEU2hFVnFZbGMtNE5Bdl9yZDEwTWNXRzFHbWpHbzF6cUtYM28yczhHb1dzYmlEZDdFWW1tWDRUQUpoYU9BTUFKT3pHVTVGWnRqa29SUUtYVTlfR2dRbVpPWEwxOWJQc0dlNk5GbmhLOFhwOEJaSUlhUExEVEkyd19wLVZRSlFjV0Zxam92MW1Pdklsem15NU1DT3Q2UnpFREZGSmx1d0E?oc=5
2025-11-14,Adani Power,Adani Enterprises up 3% ahead of rights issue; group stocks hit 52-wk highs - Business Standard,POSITIVE,0.943,"Adani Enterprises, Business Standard",,https://news.google.com/rss/articles/CBMi1wFBVV95cUxObkVuTV92SWN0OEFtWFBKcWxzdjctaVJWNGNWTXRFQnYyMFNpLXJnSzR5SVVfbEdVYzY2T0hZTnp3dDY5TVVQeE5Hd29oUWFDQXZKZlVsd3lXYVFINWdYTFVtM0QyUDhVbEF1a0oyTXVfdm5jbXJmNThRQUJXc1pQX3ZmZENQVWZvSjFWbnBqVmd3OEhxbmpPX1hpaXZmcVZBRTNWU2doX2tPemdXQkFBVVBEX1lnR29zUlA0VldvZlpKdlhhVDJDNHMtWWxVdTFZRHZXWF8wVdIB3AFBVV95cUxPRERSQWNXdndBdmJLaEpJVEFJSWhoRGdON3FHeVVVQmoyc2xwazhLRWt5Nzl1aFJkZW5JUjM5UjhVVmhlcVMwMTZLek9RZ3JJZzB4UThCWHJHaGJuaWJoTl9PTy1uZEFBV2lZc0M1YWxZRnhHY0Y0UnVUcWxMT01fb0xkSEJRaVJiTkVZd01jSjFXYmEzeXplbjdySTNzSUtTSWFDOHBWSHpxV0NYV3pBbFVYclp4eGVMRkNtRllJU21wT3hxRzcycTNjZ1BpZElmLVVjaGtXVUszc0JR?oc=5
2025-11-14,Adani Power,"Stocks to buy for long term: From HAL, SBI, Adani Power to Paytm— Vinit Bolinjkar of Ventura suggests 10 value picks - Livemint",NEGATIVE,0.959,"HAL, SBI, Adani Power, Paytm, Ventura, Livemint","adani power, sbi",https://news.google.com/rss/articles/CBMihAJBVV95cUxQTEpUeXZpMHZLbHZpS1ZPMGhSbkVsajBiZ0gwWG04VFgwNzZKOHdHaFgyOXl2T2RSOUlGTWowa3ZMUkc3V1FGRWloVnU4b2hxU3RRNjcxbEs4RVQxUi1aeXZ6QVNhaWNXUDE0R0dqNUxSdEN1ckJrdERac0ExYU9XREJnSEFyVFVTVkpZNkkwdHFOUDVwYmRjRUVYSkRFaGktSF9vd082Rm1rWWhtVVlRcjhITnNGbXk0OTlHcXNjazFoTEpwRWlyUWFNa0luZ3hUanpLZElxeFVEajd3Um4zRTV5Umd6V3ktMG9OVHV4Rm1iV2d2N3oyWG1TVUdmUk5zWTFfbtIBigJBVV95cUxQNC1LQS1PaDVuMjBJR0V2N040Zk95U3A5LXpPQVUxUmliZ2Nkdmtub0dfZ29hQW10WnBXSkxmSnlwLUVDNHozUVFGOG9mbzJnTW9OVGMzckhYZ19FS001TXN6Q1l6cWtpS2haUXhrckZVaUFoTWlvbU5RYV9jV1ZoZ1Q4eXVXV2JONDAtMkwzbkRCT1Z5c3paWXJEaHRlNWJNc0xzYjdxWUNnY2RsVHR1UFF3d2NTb19XdmJ5ZUNKS3lsTmRGZUtMQ2tNU1dDNXJaUXIwNjB0MmtuVnhrVThfenBoSUhTSkh6aHhtWlVIOGtsS1dlTUpsODd4UVlBU3RkVDFWajFScmU5UQ?oc=5
